"Group Deals","Deals"
"Search by Country:","S&oslash;g efter Land:"
"Universal","Hele landet"
"(x) close","(x) luk"
"There are no deals setup at the moment","Der er ingen deals setup i &oslash;jeblikket"
"Value","V&aelig;rdi"
"Discount","Rabat"
"You Save","Du Sparer"
"TIME LEFT TO BUY","TID TILBAGE AT K&Oslash;BE"
"%s bought","%s k&oslash;bt"
"%s more needed to get the deal","Yderligere %s skal k&oslash;be dealen f&oslash;r den er aktiv"
"The deal is on!","Dealen er aktiv!"
"Tipped at %s with %s bought","V&aelig;ltet ved %s med %s k&oslash;bte"
"The deal is over.","Dealen er slut."
"The deal's target wasn't met.","Dealens m&aring;l blev ikke n&aring;et."
"Share:","Del:"
"The Fine Print","Det med sm&aring;t"
"Highlights","Tilbudet indeholder"
"Business Hours","&Aring;bningstider"
"Company Website","Firma Hjemmeside"
"Facebook","Facebook"
"Twitter","Twitter"
"Email","Email"
"Phone:","Telefon:"
"Mobile:","Mobil:"
"View Larger Map","Se st&oslash;rre kort"
"Get Directions","F&aring; Rute Vejledning"
"%s - Current Deals","%s - Aktive Deals"
"%s - Recent Deals","%s - Afsluttede Deals"
"There are no recent deals.","Der er ingen afsluttede deals."
"There are no deals currently active.","Der er ingen aktive deals."
"view recent deals","se afsluttede deals"
"view current deals","Se aktive deals"
"Purchased:","K&oslash;bte:"
"Value:","V&aelig;rdi:"
"Price:","Pris:"
"Target Met!","M&aringl; n&aring;et"
"Target wasn't met.","M&aring;let ikke n&aring;et." 
"Side deals","Andre deals"
" deals"," deals"
"View: ","Se Deals: "
"All Deals","Alle"
"Recent Deals","Afsluttede"
"Universal deals","Deals for Hele landet"
"Subscribe to our deals!","Tilmeld dig vores Deals!"
"Subscribe to receive updates whenever a new deal is posted, when it reaches it's target or when it's over.","Tilmeld dig for at modtage nyheder om en ny deal, n&aring;r den er f&aelig;rdig eller har n&aring;et sit m&aring;l."
"City","By"
"Email Address","Email Adresse"
"Already Subscribed?","Allerede Tilmeldt?"
"Subscribe","Tilmeld"
"Subscriptions","Tilmeldinger"
"Subscribe to %s Deals:","Tilmeld til Deals i %s"
"Subscribe","Tilmeld"
"You are now unsubscribed!","Du er nu afmeldt!"
"You have successfully unsubscribed to the %s newsletter. You will be redirected to our homepage in 5 seconds.","Du har succesfuldt afmeldt dig %s nyhedsbrevet. Du vil blive viderestillet til forsiden om 5 sekunder."
"Session expired. Please select a city.","Tid udl&oslash;bet. Venligst v&aelig;lg en by."
"Thank you for your subscription.","Tak for din tilmelding."
"You are already subscribed to this city.","Du er allerede tilmeldt denne by."
"My Coupons","Mine V&aelig;di Kuponer"
"Order #","Ordrer #"
"Deal Name","Deal Navn"
"Coupon Code","Kupon Kode"
"Value","V&aelig;rdi"
"Redeem Status","Se Status"
"Coupon Action","Kupon Action"
"View","Se"
"Print","Print"
"View Order","Se Ordrer"
